Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
2016-03-18,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,5,Friday
2016-03-19,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,6,Saturday
2016-03-20,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,7,Sunday
2016-03-21,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,1,Monday
2016-03-22,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,2,Tuesday
2016-03-23,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,3,Wednesday
2016-03-24,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,4,Thursday
2016-03-25,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,5,Friday
2016-03-26,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,6,Saturday
2016-03-27,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,7,Sunday
2016-03-28,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,1,Monday
2016-03-29,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,2,Tuesday
2016-03-30,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,3,Wednesday
2016-03-31,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,4,Thursday
2016-04-01,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,5,Friday
2016-04-02,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,6,Saturday
2016-04-03,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,7,Sunday
2016-04-04,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,1,Monday
2016-04-05,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,2,Tuesday
2016-04-06,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,3,Wednesday
